0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
999.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,300.0,130.0,117.5,483.0,0.0,45.0,45.0,85.0,121.5,31.0,142.5,84.0,45.0
0.0,999.0,0.0,0.0,0.0,0.0,0.0,98.0,281.0,105.0,120.5,486.0,0.0,45.0,45.0,85.0,114.0,82.0,138.0,79.5,45.0
0.0,0.0,999.0,0.0,0.0,0.0,0.0,100.5,283.5,108.5,123.0,487.0,0.0,45.0,45.0,85.0,116.5,81.0,140.0,81.5,45.0
0.0,0.0,0.0,999.0,0.0,0.0,0.0,100.5,284.0,111.5,116.0,483.5,0.0,45.0,45.0,85.0,120.0,31.0,143.5,81.5,45.0
0.0,0.0,0.0,0.0,999.0,0.0,0.0,113.5,296.5,111.5,119.5,479.5,0.0,45.0,45.0,85.0,117.5,31.0,153.5,83.0,45.0
0.0,0.0,0.0,0.0,0.0,999.0,0.0,98.0,281.0,105.0,119.5,485.0,0.0,45.0,45.0,85.0,113.0,81.0,138.0,79.5,45.0
0.0,0.0,0.0,0.0,0.0,0.0,999.0,110.0,293.0,108.5,119.5,476.0,0.0,45.0,45.0,85.0,116.0,81.0,150.5,82.5,45.0
112.5,104.0,103.0,101.5,119.0,100.0,105.5,999.0,185.0,62.5,181.5,524.5,117.5,146.0,152.0,194.0,126.0,146.5,40.0,97.5,147.5
108.5,102.0,96.5,99.5,114.0,98.5,103.5,0.0,999.0,60.0,179.5,520.5,113.5,144.5,147.5,189.0,124.0,144.5,40.0,95.5,145.5
113.0,106.5,108.0,114.5,115.0,108.0,108.0,62.5,245.0,999.0,187.5,514.0,117.5,162.0,152.5,193.5,118.0,149.0,109.5,112.5,155.0
57.0,56.5,64.0,53.5,52.0,56.0,55.5,117.5,300.5,125.0,999.0,494.5,54.5,100.5,107.5,142.0,129.5,31.0,163.0,98.0,101.0
138.5,173.0,131.5,137.5,131.0,137.5,133.0,169.0,360.5,167.0,272.5,999.0,133.5,182.0,175.5,212.5,169.0,165.0,222.5,190.5,176.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,283.5,108.0,119.0,487.0,999.0,45.0,45.0,85.0,116.0,31.0,146.0,81.0,45.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,284.5,112.5,116.5,484.0,0.0,999.0,45.0,85.0,117.5,31.0,146.5,82.0,45.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,293.0,108.0,120.5,476.0,0.0,45.0,999.0,85.0,113.5,82.0,155.5,82.5,45.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,292.0,107.0,121.0,475.0,0.0,45.0,45.0,999.0,112.5,82.5,154.5,83.5,45.0
83.5,74.5,76.0,82.5,83.0,76.0,85.5,92.0,283.0,90.0,155.5,496.0,85.5,130.0,120.0,161.0,999.0,117.0,145.5,92.0,124.5
0.0,49.0,50.5,0.0,0.0,49.0,52.5,112.5,291.0,115.5,65.0,556.0,0.0,45.0,102.0,139.0,129.0,999.0,153.5,88.5,45.0
109.5,103.5,97.5,100.5,111.5,99.5,105.0,0.0,185.0,62.0,180.5,521.5,100.5,145.5,149.0,190.0,125.5,145.5,999.0,96.5,146.5
85.0,69.0,66.5,69.5,79.5,68.5,80.5,88.5,267.0,112.0,149.5,543.0,69.5,114.5,114.5,166.0,119.5,110.0,129.5,999.0,115.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,283.0,108.0,119.0,486.5,0.0,45.0,45.0,85.0,116.0,31.0,145.5,81.0,999.0
