0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
999,74,44,125,94,74,56,83,216,75,98,341,58,65,105,135,119,79,148,39,131
14,999,37,129,103,61,51,75,208,67,103,345,53,70,93,124,114,69,144,37,127
13,66,999,129,101,65,57,78,211,66,101,345,49,68,98,130,114,67,145,37,126
5,70,40,999,93,70,52,75,208,62,96,339,54,61,101,132,111,79,147,36,127
5,73,42,123,999,73,55,75,208,60,99,342,56,63,104,134,110,77,148,38,129
13,61,36,129,102,999,52,71,204,58,98,339,52,69,94,125,109,66,145,37,127
11,67,43,127,100,68,999,75,208,60,100,341,58,67,99,130,113,66,147,38,131
37,88,59,152,120,93,74,999,186,46,123,336,80,96,117,148,108,85,129,35,145
38,86,58,151,122,89,70,52,999,44,114,334,77,90,115,146,103,84,121,34,144
42,91,64,155,123,94,75,61,193,999,125,338,82,96,120,152,104,87,135,42,148
13,71,47,127,95,70,53,76,208,64,999,342,55,70,106,129,116,71,151,41,128
43,106,81,162,135,107,87,89,221,69,132,999,93,106,138,165,121,98,156,58,158
12,68,34,128,101,67,57,74,207,63,99,341,999,67,99,130,113,78,147,37,122
5,70,39,121,93,70,53,84,207,63,96,338,53,999,101,132,111,79,147,37,125
14,63,38,131,103,64,54,74,206,61,101,341,54,71,999,123,108,66,149,39,129
15,64,41,132,104,65,55,73,205,60,98,340,55,72,93,999,107,66,148,38,130
25,79,51,140,110,81,68,66,196,45,112,329,68,81,107,138,999,77,138,34,137
18,70,40,138,106,67,51,72,205,59,104,337,63,78,70,67,81,999,148,39,137
25,82,53,145,116,85,67,56,182,43,117,331,70,84,83,84,74,85,999,35,145
19,76,44,137,108,76,63,60,192,49,109,335,62,76,77,79,77,78,136,999,136
10,67,36,126,98,67,55,71,203,56,97,337,47,65,69,69,79,77,146,37,999
